Equipo,Jugador_Oficial
Spain,PINO
Spain,PORRO
Spain,LAPORTE
Spain,BAENA
Spain,RODRI
Spain,WILLIAMS
Spain,ZUBIMENDI
Spain,YAMAL
Spain,PEDRI
Spain,OYARZABAL
Spain,CUBARSI
Spain,SIMON
Spain,CUCURELLA
Spain,MUNOZ
Spain,IGLESIAS
Sweden,ZETTERSTROM
Sweden,LAGERBIELKE
Sweden,LINDELOF
Sweden,HIEN
Sweden,GUDMUNDSSON
Sweden,JOHANSSON
Sweden,BERGVALL
Sweden,SVENSSON
Sweden,ISAK
Sweden,NYGREN
Sweden,ELANGA
Sweden,SEMA
Sweden,EKDAL
Sweden,STARFELT
Sweden,KARLSTROM
Sweden,GYOKERES
Sweden,AYARI
Sweden,SVANBERG
Sweden,SMITH
Sweden,BERNHARDSSON
Sweden,ZENELI
Sweden,NORDFELDT
Sweden,STROUD
Sweden,NILSSON
Sweden,ALI
Switzerland,KOBEL
Switzerland,MUHEIM
Switzerland,WIDMER
Switzerland,ELVEDI
Switzerland,AKANJI
Switzerland,ZAKARIA
Switzerland,EMBOLO
Switzerland,FREULER
Switzerland,MANZAMBI
Switzerland,XHAKA
Switzerland,NDOYE
Switzerland,MVOGO
Switzerland,RODRIGUEZ
Switzerland,JASHARI
Switzerland,SOW
Switzerland,FASSNACHT
Switzerland,VARGAS
Switzerland,COEMERT
Switzerland,OKAFOR
Switzerland,AEBISCHER
Switzerland,KELLER
Switzerland,RIEDER
Switzerland,AMDOUNI
Switzerland,AMENDA
Switzerland,JAQUEZ
Switzerland,ITTEN
Tunisia,CHAMAKH
Tunisia,ABDI
Tunisia,TALBI
Tunisia,REKIK
Tunisia,AROUS
Tunisia,BRONN
Tunisia,ACHOURI
Tunisia,SAAD
Tunisia,MASTOURI
Tunisia,MEJBRI
Tunisia,GHARBI
Tunisia,QUANES
Tunisia,KHEDIRA
Tunisia,AYARI
Tunisia,MAHMOUD
Tunisia,DAHMEN
Tunisia,SKHIRI
Tunisia,ELLOUMI
Tunisia,CHAOUAT
Tunisia,VALERY
Tunisia,HMIDA
Tunisia,HESSEN
Tunisia,NEFFATI
Tunisia,CHIKHAOUI
Tunisia,SLIMANE
Tunisia,TOUNEKTI
Türkiye,GUNOK
Türkiye,CELIK
Türkiye,DEMIRAL
Türkiye,SOYUNCU
Türkiye,OZCAN
Türkiye,KOKCU
Türkiye,AKTURKOGLU
Türkiye,GULER
Türkiye,GUL
Türkiye,CALHANOGLU
Türkiye,YILDIZ
Türkiye,BAYINDIR
Türkiye,ELMALI
Türkiye,BARDAKCI
Türkiye,KABAK
Türkiye,YUKSEK
Türkiye,KAHVECI
Türkiye,MULDUR
Türkiye,AKGUN
Türkiye,KADIOGLU
Türkiye,YILMAZ
Türkiye,AYHAN
Türkiye,CAKIR
Türkiye,AYDIN
Türkiye,AKAYDIN
Türkiye,UZUN
Uruguay,ROCHET
Uruguay,GIMENEZ
Uruguay,CACERES
Uruguay,ARAUJO
Uruguay,UGARTE
Uruguay,BENTANCUR
Uruguay,CRUZ
Uruguay,VALVERDE
Uruguay,NUNEZ
Uruguay,ARRASCAETA
Uruguay,PELLISTRI
Uruguay,MELE
Uruguay,VARELA
Uruguay,CANOBBIO
Uruguay,MARTINEZ
Uruguay,OLIVERA
Uruguay,VINA
Uruguay,RODRIGUEZ
Uruguay,AGUIRRE
Uruguay,VINAS
Uruguay,PIQUEREZ
Uruguay,MUSLERA
Uruguay,BUENO
Uruguay,SANABRIA
Uruguay,ZALAZAR
USA,TURNER
USA,DEST
USA,RICHARDS
USA,ADAMS
USA,ROBINSON
USA,TRUSTY
USA,REYNA
USA,MCKENNIE
USA,PEPI
USA,PULISIC
USA,AARONSON
USA,REAM
USA,BERHALTER
USA,ROLDAN
USA,FREEMAN
USA,TILLMAN
USA,ARFSTEN
USA,WRIGHT
USA,BALOGUN
USA,WEAH
USA,MCKENZIE
USA,SCALLY
USA,FREESE
USA,BRADY
USA,ZENDEJAS
Uzbekistan,YUSUPOV
Uzbekistan,KHUSANOV
Uzbekistan,ALIJONOV
Uzbekistan,SAYFIEV
Uzbekistan,ASHURMATOV
